Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057511237.1-Aer_XP_057463337.1	NG	0.0280466	0.171199	0.163825	6.64668e-17	1614	378.924	1235.08	NA	92	58	34	NA	NA	0.0616549	1:1:1:1:1:1	0.354107(0.382521:0.305874:0.373926)	NA	NA	NA	NA
Aer_XP_057511237.1-Csin_XP_028078238.2	NG	0.0719232	0.605862	0.118712	1.20179e-52	1608	379.547	1228.45	NA	242	157.75	84.25	NA	NA	0.197952	1:1:1:1:1:1	0.34575(0.382521:0.310172:0.344556)	NA	NA	NA	NA
Aer_XP_057511237.1-Mdo_XP_017187244.1	NG	0.142591	1.5472	0.0921604	1.83712e-84	1593	375.623	1217.38	NA	404	245.917	158.083	NA	NA	0.473793	1:1:1:1:1:1	0.366523(0.39255:0.312321:0.394699)	NA	NA	NA	NA
Aer_XP_057511237.1-Mdo_XP_028948673.1	NG	0.142468	1.46704	0.0971129	1.91027e-82	1593	377.883	1215.12	NA	401	243.333	157.667	NA	NA	0.456675	1:1:1:1:1:1	0.364613(0.391117:0.313037:0.389685)	NA	NA	NA	NA
Aer_XP_057511237.1-Rsim_KAF7150813.1	NG	0.0890898	0.706127	0.126167	3.47034e-55	1587	376.71	1210.29	NA	274	172.333	101.667	NA	NA	0.235558	1:1:1:1:1:1	0.361032(0.388252:0.31447:0.380372)	NA	NA	NA	NA
Aer_XP_057511237.1-Vcor_VaccDscaff20-processed-gene-339.3-mRNA-1	NG	0.0814347	0.676592	0.12036	3.46894e-56	1608	382.341	1225.66	NA	265	170.417	94.5833	NA	NA	0.222948	1:1:1:1:1:1	0.380134(0.409742:0.334527:0.396132)	NA	NA	NA	NA
Aer_XP_057511237.1-Vcor_VaccDscaff28-snap-gene-34.33-mRNA-1	NG	0.0837242	0.647665	0.129271	4.90246e-52	1608	382.513	1225.49	NA	263	165.917	97.0833	NA	NA	0.217875	1:1:1:1:1:1	0.379656(0.416905:0.329513:0.39255)	NA	NA	NA	NA
Aer_XP_057511237.1-Vdar_KAH7840041.1	NG	0.0805644	0.674995	0.119356	1.94059e-56	1608	382.898	1225.1	NA	264	170.417	93.5833	NA	NA	0.222111	1:1:1:1:1:1	0.359121(0.388968:0.313754:0.374642)	NA	NA	NA	NA
Aer_XP_057511237.1-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.0837301	0.641274	0.130568	1.9945e-51	1608	382.595	1225.41	NA	262	164.917	97.0833	NA	NA	0.216388	1:1:1:1:1:1	0.356017(0.390401:0.310888:0.366762)	NA	NA	NA	NA
Aer_XP_057511237.1-Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	NG	0.0664125	0.508533	0.130596	2.45204e-27	942	226.108	715.892	NA	129	83.5	45.5	NA	NA	0.172534	1:1:1:1:1:1	0.279608(0.305874:0.245702:0.287249)	NA	NA	NA	NA
Aer_XP_057511237.1-Vvin_XP_002272229.1	NG	0.116139	1.19388	0.0972785	2.963e-79	1590	375.555	1214.44	NA	355	224.333	130.667	NA	NA	0.370701	1:1:1:1:1:1	0.362703(0.391834:0.311605:0.38467)	NA	NA	NA	NA
Aer_XP_057463337.1-Csin_XP_028078238.2	NG	0.0769748	0.639783	0.120314	1.56288e-54	1608	378.9	1229.1	NA	253	163.083	89.9167	NA	NA	0.209592	1:1:1:1:1:1	0.347421(0.383954:0.308023:0.350287)	NA	NA	NA	NA
Aer_XP_057463337.1-Mdo_XP_017187244.1	NG	0.147252	1.41163	0.104314	2.16125e-78	1593	374.459	1218.54	NA	401	238.083	162.917	NA	NA	0.444464	1:1:1:1:1:1	0.368195(0.393983:0.310172:0.40043)	NA	NA	NA	NA
Aer_XP_057463337.1-Mdo_XP_028948673.1	NG	0.14489	1.31724	0.109995	1.08059e-74	1593	376.718	1216.28	NA	394	233.75	160.25	NA	NA	0.422131	1:1:1:1:1:1	0.366285(0.39255:0.310888:0.395415)	NA	NA	NA	NA
Aer_XP_057463337.1-Rsim_KAF7150813.1	NG	0.0983964	0.715016	0.137614	1.83323e-52	1587	376.063	1210.94	NA	285	173.333	111.667	NA	NA	0.244513	1:1:1:1:1:1	0.362703(0.389685:0.312321:0.386103)	NA	NA	NA	NA
Aer_XP_057463337.1-Vcor_VaccDscaff20-processed-gene-339.3-mRNA-1	NG	0.0902275	0.700353	0.128831	1.60532e-54	1608	381.693	1226.31	NA	278	173.75	104.25	NA	NA	0.235054	1:1:1:1:1:1	0.381805(0.411175:0.332378:0.401862)	NA	NA	NA	NA
Aer_XP_057463337.1-Vcor_VaccDscaff28-snap-gene-34.33-mRNA-1	NG	0.091622	0.703167	0.130299	9.84834e-55	1608	381.866	1226.13	NA	280	174.25	105.75	NA	NA	0.236851	1:1:1:1:1:1	0.381328(0.418338:0.327364:0.398281)	NA	NA	NA	NA
Aer_XP_057463337.1-Vdar_KAH7840041.1	NG	0.0893514	0.705337	0.126679	2.35679e-55	1608	382.251	1225.75	NA	278	174.75	103.25	NA	NA	0.235782	1:1:1:1:1:1	0.360793(0.390401:0.311605:0.380372)	NA	NA	NA	NA
Aer_XP_057463337.1-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.0916285	0.676648	0.135415	2.53451e-52	1608	381.947	1226.05	NA	276	170.25	105.75	NA	NA	0.230588	1:1:1:1:1:1	0.357689(0.391834:0.308739:0.372493)	NA	NA	NA	NA
Aer_XP_057463337.1-Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	NG	0.0709063	0.575782	0.123148	1.84379e-30	942	225.156	716.844	NA	139	90.5	48.5	NA	NA	0.191581	1:1:1:1:1:1	0.28128(0.307307:0.243553:0.29298)	NA	NA	NA	NA
Aer_XP_057463337.1-Vvin_XP_002272229.1	NG	0.119925	1.26802	0.0945765	1.41504e-81	1590	374.907	1215.09	NA	364	229.333	134.667	NA	NA	0.390636	1:1:1:1:1:1	0.364374(0.393266:0.309456:0.390401)	NA	NA	NA	NA
Csin_XP_028078238.2-Mdo_XP_017187244.1	NG	0.155052	1.41132	0.109863	1.76841e-75	1593	376.977	1216.02	NA	410	239.667	170.333	NA	NA	0.452343	1:1:1:1:1:1	0.359838(0.393983:0.31447:0.37106)	NA	NA	NA	NA
Csin_XP_028078238.2-Mdo_XP_028948673.1	NG	0.151845	1.31424	0.115538	3.74242e-73	1593	379.318	1213.68	NA	402	235.167	166.833	NA	NA	0.42863	1:1:1:1:1:1	0.357927(0.39255:0.315186:0.366046)	NA	NA	NA	NA
Csin_XP_028078238.2-Rsim_KAF7150813.1	NG	0.105933	0.663676	0.159615	2.08491e-45	1587	378.226	1208.77	NA	286	166.583	119.417	NA	NA	0.238858	1:1:1:1:1:1	0.354346(0.389685:0.316619:0.356734)	NA	NA	NA	NA
Csin_XP_028078238.2-Vcor_VaccDscaff20-processed-gene-339.3-mRNA-1	NG	0.0978832	0.606597	0.161365	2.14019e-43	1608	383.856	1224.14	NA	272	159.667	112.333	NA	NA	0.219322	1:1:1:1:1:1	0.373448(0.411175:0.336676:0.372493)	NA	NA	NA	NA
Csin_XP_028078238.2-Vcor_VaccDscaff28-snap-gene-34.33-mRNA-1	NG	0.0988294	0.612045	0.161474	1.32619e-43	1608	384.028	1223.97	NA	274	160.667	113.333	NA	NA	0.221397	1:1:1:1:1:1	0.37297(0.418338:0.331662:0.368911)	NA	NA	NA	NA
Csin_XP_028078238.2-Vdar_KAH7840041.1	NG	0.0965352	0.590809	0.163395	8.21504e-43	1608	384.413	1223.59	NA	268	157.167	110.833	NA	NA	0.214698	1:1:1:1:1:1	0.352436(0.390401:0.315903:0.351003)	NA	NA	NA	NA
Csin_XP_028078238.2-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.0988365	0.605979	0.163102	4.82374e-43	1608	384.11	1223.89	NA	273	159.667	113.333	NA	NA	0.21998	1:1:1:1:1:1	0.349331(0.391834:0.313037:0.343123)	NA	NA	NA	NA
Csin_XP_028078238.2-Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	NG	0.0677797	0.533367	0.127079	1.61395e-28	942	227.059	714.941	NA	133	86.6667	46.3333	NA	NA	0.180004	1:1:1:1:1:1	0.272923(0.307307:0.247851:0.26361)	NA	NA	NA	NA
Csin_XP_028078238.2-Vvin_XP_002272229.1	NG	0.13069	1.05599	0.12376	5.64114e-66	1590	376.86	1213.14	NA	359	213.5	145.5	NA	NA	0.350004	1:1:1:1:1:1	0.356017(0.393266:0.313754:0.361032)	NA	NA	NA	NA
Mdo_XP_017187244.1-Mdo_XP_028948673.1	NG	0.0525592	0.253513	0.207323	7.09347e-20	1632	384.294	1247.71	NA	146	82.6667	63.3333	NA	NA	0.0998787	1:1:1:1:1:1	0.378701(0.402579:0.317335:0.416189)	NA	NA	NA	NA
Mdo_XP_017187244.1-Rsim_KAF7150813.1	NG	0.174948	1.9331	0.0905011	3.00651e-85	1587	376.85	1210.15	NA	450	261.167	188.833	NA	NA	0.592439	1:1:1:1:1:1	0.375119(0.399713:0.318768:0.406877)	NA	NA	NA	NA
Mdo_XP_017187244.1-Vcor_VaccDscaff20-processed-gene-339.3-mRNA-1	NG	0.160196	1.73376	0.092398	3.42355e-85	1602	381.838	1220.16	NA	434	258	176	NA	NA	0.535256	1:1:1:1:1:1	0.394222(0.421203:0.338825:0.422636)	NA	NA	NA	NA
