Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057510948.1-Ath_NP_193531.1	NG	0.250741	2.47044	0.101497	2.2467e-70	1554	364.988	1189.01	NA	517	263.583	253.417	NA	NA	0.772082	1:1:1:1:1:1	0.375062(0.418033:0.328614:0.378539)	NA	NA	NA	NA
Aer_XP_057510948.1-Ath_NP_199472.1	NG	0.324614	2.03928	0.159181	9.11708e-49	1491	345.802	1145.2	NA	544	242.25	301.75	NA	NA	0.722289	1:1:1:1:1:1	0.361649(0.387481:0.312221:0.385246)	NA	NA	NA	NA
Aer_XP_057510948.1-Ath_NP_001032019.1	NG	0.290184	4.0323	0.071965	1.07641e-64	1476	343.589	1132.41	NA	529	256.5	272.5	NA	NA	1.16129	1:1:1:1:1:1	0.359911(0.402385:0.30924:0.368107)	NA	NA	NA	NA
Aer_XP_057510948.1-Ath_NP_001119385.1	NG	0.293874	7.01033	0.0419202	7.03821e-62	1407	327.362	1079.64	NA	508	245.5	262.5	NA	NA	1.85657	1:1:1:1:1:1	0.352956(0.394188:0.303279:0.361401)	NA	NA	NA	NA
Aer_XP_057510948.1-Ath_NP_199473.1	NG	0.281892	3.2495	0.0867494	6.26594e-68	1548	362.764	1185.24	NA	547	268.5	278.5	NA	NA	0.977333	1:1:1:1:1:1	0.367362(0.409836:0.318927:0.373323)	NA	NA	NA	NA
Aer_XP_057510948.1-Csin_XP_028109838.2	NG	0.167994	0.844872	0.19884	2.3503e-40	1548	362.023	1185.98	NA	362	183.5	178.5	NA	NA	0.326292	1:1:1:1:1:1	0.364382(0.390462:0.323398:0.379285)	NA	NA	NA	NA
Aer_XP_057510948.1-Csin_XP_028083526.2	NG	0.145898	0.731956	0.199326	2.84864e-39	1599	373.364	1225.64	NA	337	174.5	162.5	NA	NA	0.282742	1:1:1:1:1:1	0.365127(0.407601:0.323398:0.364382)	NA	NA	NA	NA
Aer_XP_057510948.1-Mdo_XP_008373555.3	NG	0.201253	1.44897	0.138894	1.72693e-63	1584	373.04	1210.96	NA	453	239.25	213.75	NA	NA	0.495096	1:1:1:1:1:1	0.375807(0.415052:0.325633:0.386736)	NA	NA	NA	NA
Aer_XP_057510948.1-Mdo_XP_008341114.2	NG	0.201685	1.33383	0.151208	1.96128e-58	1584	371.53	1212.47	NA	446	231.583	214.417	NA	NA	0.467231	1:1:1:1:1:1	0.374565(0.410581:0.321162:0.391952)	NA	NA	NA	NA
Aer_XP_057510948.1-Rsim_KAF7137314.1	NG	0.530221	2.2734	0.233228	1.37187e-26	1404	330.505	1073.5	NA	644	235.917	408.083	NA	NA	0.94057	1:1:1:1:1:1	0.366369(0.412072:0.320417:0.366617)	NA	NA	NA	NA
Aer_XP_057510948.1-Vcor_VaccDscaff22-snap-gene-63.37-mRNA-1	NG	0.464846	2.99772	0.155067	1.59286e-37	1470	340.477	1129.52	NA	642	250.667	391.333	NA	NA	1.0515	1:1:1:1:1:1	0.360656(0.403875:0.30924:0.368852)	NA	NA	NA	NA
Aer_XP_057510948.1-Vcor_VaccDscaff25-augustus-gene-50.33-mRNA-1	NG	0.177768	0.692832	0.256581	1.35312e-29	1602	375.725	1226.28	NA	364	169.917	194.083	NA	NA	0.298568	1:1:1:1:1:1	0.387481(0.413562:0.334575:0.414307)	NA	NA	NA	NA
Aer_XP_057510948.1-Vdar_KAH7835189.1	NG	0.174227	0.688209	0.25316	3.13055e-30	1602	376.15	1225.85	NA	360	169.417	190.583	NA	NA	0.29491	1:1:1:1:1:1	0.38773(0.415052:0.334575:0.413562)	NA	NA	NA	NA
Aer_XP_057510948.1-Vdar_KAH7864007.1	NG	0.465276	2.85354	0.163052	8.29669e-37	1470	339.788	1130.21	NA	641	249.167	391.833	NA	NA	1.01732	1:1:1:1:1:1	0.367114(0.412817:0.31073:0.377794)	NA	NA	NA	NA
Aer_XP_057510948.1-Vduc_GWHPDOBL010968	NG	0.459005	2.79051	0.164488	1.64494e-36	1437	333.749	1103.25	NA	623	244.25	378.75	NA	NA	1.00051	1:1:1:1:1:1	0.362643(0.409836:0.307004:0.371088)	NA	NA	NA	NA
Aer_XP_057510948.1-Vduc_GWHPDOBL014285	NG	0.17409	0.649774	0.267923	1.68369e-27	1602	376.363	1225.64	NA	354	163.583	190.417	NA	NA	0.285844	1:1:1:1:1:1	0.387481(0.415052:0.33532:0.412072)	NA	NA	NA	NA
Aer_XP_057510948.1-Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.463722	3.00244	0.154448	6.601e-37	1437	332.968	1104.03	NA	627	245.167	381.833	NA	NA	1.05197	1:1:1:1:1:1	0.368604(0.415797:0.315201:0.374814)	NA	NA	NA	NA
Aer_XP_057510948.1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.171768	0.716911	0.239594	1.31972e-32	1599	374.927	1224.07	NA	361	173.083	187.917	NA	NA	0.299591	1:1:1:1:1:1	0.38773(0.412072:0.334575:0.416542)	NA	NA	NA	NA
Aer_XP_057510948.1-Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1	NG	0.179144	0.707352	0.25326	3.31016e-28	1470	344.109	1125.89	NA	337	157.583	179.417	NA	NA	0.302791	1:1:1:1:1:1	0.374814(0.399404:0.324143:0.400894)	NA	NA	NA	NA
Aer_XP_057510948.1-Vvin_XP_002278594.2	NG	0.213603	1.22327	0.174617	6.72591e-52	1602	376.739	1225.26	NA	455	227.25	227.75	NA	NA	0.451044	1:1:1:1:1:1	0.38003(0.418778:0.325633:0.395678)	NA	NA	NA	NA
