Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057497741.1-Aer_XP_057505826.1	NG	0.215186	0.757222	0.284178	2.03302e-24	1431	332.47	1098.53	NA	364	158.5	205.5	NA	NA	0.341119	1:1:1:1:1:1	0.336789(0.386762:0.303828:0.319777)	NA	NA	NA	NA
Aer_XP_057497741.1-Aer_XP_057512530.1	NG	0.083523	0.264277	0.316043	5.88165e-12	1446	338.968	1107.03	NA	163	75.5	87.5	NA	NA	0.125895	1:1:1:1:1:1	0.330409(0.382775:0.302233:0.30622)	NA	NA	NA	NA
Aer_XP_057497741.1-Aer_XP_057466883.1	NG	0.209319	0.688709	0.30393	4.32318e-22	1446	335.482	1110.52	NA	354	151.167	202.833	NA	NA	0.320541	1:1:1:1:1:1	0.333333(0.388357:0.296651:0.314992)	NA	NA	NA	NA
Aer_XP_057497741.1-Aer_XP_057483129.1	NG	0.382075	1.83588	0.208116	8.36997e-35	1359	321.832	1037.17	NA	531	220.5	310.5	NA	NA	0.726358	1:1:1:1:1:1	0.334928(0.382775:0.300638:0.321372)	NA	NA	NA	NA
Aer_XP_057497741.1-Aer_XP_057483564.1	NG	0.351106	1.93876	0.181098	2.18692e-40	1377	326.626	1050.37	NA	521	226.5	294.5	NA	NA	0.727699	1:1:1:1:1:1	0.341839(0.378788:0.30941:0.337321)	NA	NA	NA	NA
Aer_XP_057497741.1-Ath_NP_172319.1	NG	0.454791	2.04757	0.222112	5.23236e-30	1350	315.58	1034.42	NA	574	221.25	352.75	NA	NA	0.827124	1:1:1:1:1:1	0.330409(0.388357:0.293461:0.30941)	NA	NA	NA	NA
Aer_XP_057497741.1-Ath_NP_172320.1	NG	0.415734	2.37652	0.174934	2.43596e-36	1338	315.491	1022.51	NA	553	226.667	326.333	NA	NA	0.878074	1:1:1:1:1:1	0.333599(0.393142:0.295853:0.311802)	NA	NA	NA	NA
Aer_XP_057497741.1-Ath_NP_001324626.1	NG	0.433633	2.81322	0.154141	4.00731e-37	1344	316.093	1027.91	NA	570	231.5	338.5	NA	NA	0.993284	1:1:1:1:1:1	0.32908(0.386762:0.285486:0.314992)	NA	NA	NA	NA
Aer_XP_057497741.1-Ath_NP_180292.1	NG	0.433633	2.81322	0.154141	4.00731e-37	1344	316.093	1027.91	NA	570	231.5	338.5	NA	NA	0.993284	1:1:1:1:1:1	0.33546(0.391547:0.294258:0.320574)	NA	NA	NA	NA
Aer_XP_057497741.1-Ath_NP_001327288.1	NG	0.388471	1.82372	0.21301	3.11893e-35	1419	332.807	1086.19	NA	557	227.667	329.333	NA	NA	0.72509	1:1:1:1:1:1	0.336523(0.391547:0.293461:0.324561)	NA	NA	NA	NA
