Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057509178.1-Aer_XP_057461131.1	NG	0.128475	0.443842	0.289462	3.28126e-16	1245	295.027	949.973	NA	211	98.8333	112.167	NA	NA	0.203207	1:1:1:1:1:1	0.287689(0.320814:0.260563:0.28169)	NA	NA	NA	NA
Aer_XP_057509178.1-Aer_XP_057473816.1	NG	0.0377535	0.140075	0.269524	9.51949e-08	1248	297.405	950.595	NA	73	38	35	NA	NA	0.0621372	1:1:1:1:1:1	0.291601(0.328638:0.263693:0.282473)	NA	NA	NA	NA
Aer_XP_057509178.1-Aer_XP_057484025.1	NG	0.132233	0.456194	0.28986	1.45247e-16	1245	295.027	949.973	NA	216	100.833	115.167	NA	NA	0.209002	1:1:1:1:1:1	0.285863(0.322379:0.258998:0.276213)	NA	NA	NA	NA
Aer_XP_057509178.1-Csin_XP_028107667.2	NG	0.118442	0.435316	0.272083	1.70203e-17	1248	295.733	952.267	NA	202	97.6667	104.333	NA	NA	0.19353	1:1:1:1:1:1	0.309598(0.349765:0.282473:0.296557)	NA	NA	NA	NA
Aer_XP_057509178.1-Csin_XP_082761533.1	NG	0.120221	0.433247	0.277487	7.22828e-17	1242	293.736	948.264	NA	202	96.6667	105.333	NA	NA	0.194252	1:1:1:1:1:1	0.280386(0.321596:0.258216:0.261346)	NA	NA	NA	NA
Aer_XP_057509178.1-Mdo_XP_008363698.4	NG	0.228093	1.2334	0.18493	1.28377e-37	1218	287.521	930.479	NA	357	174	183	NA	NA	0.465406	1:1:1:1:1:1	0.286646(0.329421:0.250391:0.280125)	NA	NA	NA	NA
Aer_XP_057509178.1-Mdo_XP_008386509.1	NG	0.220216	1.25136	0.175981	1.14731e-40	1245	293.022	951.978	NA	360	178.333	181.667	NA	NA	0.462905	1:1:1:1:1:1	0.292906(0.331768:0.260563:0.286385)	NA	NA	NA	NA
Aer_XP_057509178.1-Mdo_XP_008350071.2	NG	0.219917	1.2521	0.175639	3.15789e-40	1242	292.408	949.592	NA	359	178	181	NA	NA	0.462927	1:1:1:1:1:1	0.288993(0.332551:0.256651:0.277778)	NA	NA	NA	NA
Aer_XP_057509178.1-Rsim_KAF7153641.1	NG	0.137359	0.40842	0.336318	6.99235e-13	1245	294.248	950.752	NA	212	92.6667	119.333	NA	NA	0.201423	1:1:1:1:1:1	0.285342(0.323944:0.259781:0.2723)	NA	NA	NA	NA
Aer_XP_057509178.1-Vcor_VaccDscaff46-augustus-gene-185.20-mRNA-1	NG	0.121694	0.45219	0.269122	6.77729e-18	1245	295.453	949.547	NA	207	100.333	106.667	NA	NA	0.200125	1:1:1:1:1:1	0.294992(0.338811:0.267606:0.27856)	NA	NA	NA	NA
Aer_XP_057509178.1-Vdar_KAH7864239.1	NG	0.137135	0.462482	0.29652	3.3584e-16	1245	295.494	949.506	NA	221	102	119	NA	NA	0.214355	1:1:1:1:1:1	0.340636(0.384977:0.312207:0.324726)	NA	NA	NA	NA
Aer_XP_057509178.1-Vduc_GWHPDOBL013499	NG	0.119309	0.47589	0.250707	3.57633e-20	1245	296.101	948.899	NA	209	104.333	104.667	NA	NA	0.204116	1:1:1:1:1:1	0.288472(0.331768:0.261346:0.2723)	NA	NA	NA	NA
Aer_XP_057509178.1-Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.149453	0.516507	0.289354	1.67157e-17	1230	291.529	938.471	NA	236	108.833	127.167	NA	NA	0.23645	1:1:1:1:1:1	0.334898(0.377152:0.308294:0.319249)	NA	NA	NA	NA
Aer_XP_057509178.1-Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1	NG	0.12553	0.500296	0.250911	6.88016e-18	1089	257.015	831.985	NA	190	93.8333	96.1667	NA	NA	0.213978	1:1:1:1:1:1	0.268649(0.303599:0.249609:0.252739)	NA	NA	NA	NA
Aer_XP_057509178.1-Vvin_XP_010652148.1	NG	0.251375	1.21631	0.20667	1.07266e-34	1239	297.147	941.853	NA	380	178.833	201.167	NA	NA	0.482794	1:1:1:1:1:1	0.299165(0.338811:0.266823:0.291862)	NA	NA	NA	NA
Aer_XP_057461131.1-Aer_XP_057473816.1	NG	0.127421	0.405535	0.314204	7.38211e-14	1245	296.355	948.645	NA	204	92.8333	111.167	NA	NA	0.193622	1:1:1:1:1:1	0.288732(0.322379:0.262911:0.280908)	NA	NA	NA	NA
Aer_XP_057461131.1-Aer_XP_057484025.1	NG	0.0438603	0.0815593	0.537773	0.0147514	1260	297.615	962.385	NA	64	23	41	NA	NA	0.0527649	1:1:1:1:1:1	0.282994(0.316119:0.258216:0.274648)	NA	NA	NA	NA
Aer_XP_057461131.1-Csin_XP_028107667.2	NG	0.144425	0.473006	0.305335	5.36919e-16	1260	298.344	961.656	NA	231	104.667	126.333	NA	NA	0.222227	1:1:1:1:1:1	0.306729(0.343505:0.28169:0.294992)	NA	NA	NA	NA
Aer_XP_057461131.1-Csin_XP_082761533.1	NG	0.132014	0.274621	0.480715	8.71989e-06	1254	295.708	958.292	NA	184	68	116	NA	NA	0.165643	1:1:1:1:1:1	0.277517(0.315336:0.257433:0.259781)	NA	NA	NA	NA
Aer_XP_057461131.1-Mdo_XP_008363698.4	NG	0.253441	1.15476	0.219475	7.86952e-32	1230	289.959	940.041	NA	373	170.833	202.167	NA	NA	0.465918	1:1:1:1:1:1	0.283777(0.323161:0.249609:0.27856)	NA	NA	NA	NA
Aer_XP_057461131.1-Mdo_XP_008386509.1	NG	0.247399	1.1468	0.215729	4.54814e-33	1260	295.913	964.087	NA	377	173.833	203.167	NA	NA	0.458626	1:1:1:1:1:1	0.290037(0.325509:0.259781:0.28482)	NA	NA	NA	NA
Aer_XP_057461131.1-Mdo_XP_008350071.2	NG	0.252443	1.264	0.199717	9.86727e-36	1251	294.616	956.384	NA	385	180	205	NA	NA	0.490671	1:1:1:1:1:1	0.286124(0.326291:0.255869:0.276213)	NA	NA	NA	NA
Aer_XP_057461131.1-Rsim_KAF7153641.1	NG	0.174716	0.50337	0.347092	8.65427e-14	1260	297.048	962.952	NA	259	108.917	150.083	NA	NA	0.252197	1:1:1:1:1:1	0.282473(0.317684:0.258998:0.270736)	NA	NA	NA	NA
Aer_XP_057461131.1-Vcor_VaccDscaff46-augustus-gene-185.20-mRNA-1	NG	0.155721	0.473114	0.329141	1.52645e-14	1260	298.77	961.23	NA	240	104.833	135.167	NA	NA	0.230981	1:1:1:1:1:1	0.292123(0.332551:0.266823:0.276995)	NA	NA	NA	NA
