Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057496637.1-Aer_XP_057510152.1	NG	0.291257	1.85847	0.156719	5.93435e-49	1431	333.424	1097.58	NA	494	229.083	264.917	NA	NA	0.656418	1:1:1:1:1:1	0.195804(0.20979:0.179196:0.198427)	NA	NA	NA	NA
Aer_XP_057496637.1-Aer_XP_057463197.1	NG	0.165627	0.504457	0.328328	1.44525e-16	1398	325.873	1072.13	NA	279	119.667	159.333	NA	NA	0.244608	1:1:1:1:1:1	0.186334(0.200612:0.170455:0.187937)	NA	NA	NA	NA
Aer_XP_057496637.1-Ath_NP_001319836.1	NG	0.323122	2.08526	0.154956	7.25801e-47	1422	328.127	1093.87	NA	518	230.833	287.167	NA	NA	0.729736	1:1:1:1:1:1	0.184878(0.206294:0.16958:0.178759)	NA	NA	NA	NA
Aer_XP_057496637.1-Csin_XP_028070300.2	NG	0.181306	0.619534	0.29265	7.34393e-22	1449	332.411	1116.59	NA	320	140.167	179.833	NA	NA	0.281839	1:1:1:1:1:1	0.199009(0.211538:0.180507:0.204983)	NA	NA	NA	NA
Aer_XP_057496637.1-Csin_XP_028116915.2	NG	0.155971	0.517182	0.301579	4.54989e-19	1452	332.969	1119.03	NA	282	124.417	157.583	NA	NA	0.238803	1:1:1:1:1:1	0.188228(0.202797:0.170892:0.190997)	NA	NA	NA	NA
Aer_XP_057496637.1-Csin_XP_028104754.1	NG	0.279541	1.9844	0.140869	5.74401e-52	1419	325.539	1093.46	NA	482	226.833	255.167	NA	NA	0.670661	1:1:1:1:1:1	0.183858(0.204108:0.167395:0.18007)	NA	NA	NA	NA
Aer_XP_057496637.1-Mdo_XP_017188365.3	NG	0.28274	1.68644	0.167655	4.34198e-47	1416	329.562	1086.44	NA	477	221.083	255.917	NA	NA	0.60944	1:1:1:1:1:1	0.191725(0.208042:0.173514:0.193619)	NA	NA	NA	NA
Aer_XP_057496637.1-Mdo_XP_008390303.4	NG	0.299713	1.70931	0.175342	8.65219e-45	1446	332.608	1113.39	NA	499	223.917	275.083	NA	NA	0.623947	1:1:1:1:1:1	0.193328(0.208042:0.174388:0.197552)	NA	NA	NA	NA
Aer_XP_057496637.1-Mdo_XP_028948087.2	NG	0.303605	1.67714	0.181026	9.75093e-44	1443	332.537	1110.46	NA	500	222.75	277.25	NA	NA	0.620133	1:1:1:1:1:1	0.190705(0.206294:0.171766:0.194056)	NA	NA	NA	NA
Aer_XP_057496637.1-Rsim_KAF7152173.1	NG	0.124493	0.675775	0.184223	6.10644e-37	1446	333.043	1112.96	NA	276	148.333	127.667	NA	NA	0.251464	1:1:1:1:1:1	0.188374(0.20236:0.169143:0.193619)	NA	NA	NA	NA
Aer_XP_057496637.1-Rsim_KAF7150614.1	NG	0.316715	2.36058	0.134169	4.7747e-51	1434	329.837	1104.16	NA	522	236.75	285.25	NA	NA	0.786827	1:1:1:1:1:1	0.185897(0.205857:0.170455:0.181381)	NA	NA	NA	NA
Aer_XP_057496637.1-Rsim_KAF7139285.1	NG	0.156104	0.519587	0.300439	2.27525e-18	1362	316.56	1045.44	NA	266	118.667	147.333	NA	NA	0.240586	1:1:1:1:1:1	0.177448(0.197115:0.166958:0.168269)	NA	NA	NA	NA
Aer_XP_057496637.1-Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1	NG	0.163778	0.518351	0.315959	4.6658e-17	1362	315.302	1046.7	NA	272	118	154	NA	NA	0.245861	1:1:1:1:1:1	0.179196(0.198427:0.167395:0.171766)	NA	NA	NA	NA
Aer_XP_057496637.1-Vcor_VaccDscaff49-snap-gene-9.64-mRNA-1	NG	0.301371	1.85545	0.162425	7.39066e-47	1413	326.752	1086.25	NA	494	224.417	269.583	NA	NA	0.660748	1:1:1:1:1:1	0.282488(0.315122:0.261801:0.270542)	NA	NA	NA	NA
Aer_XP_057496637.1-Vcor_VaccDscaff37-snap-gene-141.39-mRNA-1	NG	0.138939	0.586464	0.236909	1.17718e-26	1446	334.263	1111.74	NA	277	136	141	NA	NA	0.24239	1:1:1:1:1:1	0.189977(0.204545:0.169143:0.196241)	NA	NA	NA	NA
Aer_XP_057496637.1-Vcor_VaccDscaff28-snap-gene-4.47-mRNA-1	NG	0.303281	1.70829	0.177534	1.46054e-43	1413	326.964	1086.04	NA	491	220.083	270.917	NA	NA	0.628397	1:1:1:1:1:1	0.271999(0.299388:0.255682:0.260927)	NA	NA	NA	NA
Aer_XP_057496637.1-Vdar_KAH7859503.1	NG	0.143135	0.602513	0.237563	4.78791e-27	1446	333.228	1112.77	NA	283	138	145	NA	NA	0.248998	1:1:1:1:1:1	0.210664(0.227273:0.191434:0.213287)	NA	NA	NA	NA
Aer_XP_057496637.1-Vduc_GWHPDOBL006900	NG	0.299082	1.6548	0.180736	1.52555e-43	1413	326.752	1086.25	NA	486	218.083	267.917	NA	NA	0.612588	1:1:1:1:1:1	0.207605(0.224213:0.194493:0.204108)	NA	NA	NA	NA
Aer_XP_057496637.1-Vduc_GWHPDOBL010431	NG	0.168083	0.526112	0.319481	3.70704e-17	1362	316.043	1045.96	NA	277	119.5	157.5	NA	NA	0.251161	1:1:1:1:1:1	0.18007(0.198864:0.166521:0.174825)	NA	NA	NA	NA
